Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	FZ	CZ	PZ	FC1	FC2	CP1	CP2	FC5	FC6	CP5	CP6	FT9	FT10	P9	P10	POZ
167.9688	-0.0825	0.4023	-0.2599	0.6891	-0.7821	0.6823	-1.3465	-0.2229	-0.8198	-0.1820	-0.3943	1.4800	-0.9356	1.7959	-0.8611	1.1709	0.0344	-0.2373	-1.1801	-0.3156	0.4962	-1.0729	-0.3338	-0.3729	1.1187	-1.0399	0.8899	-0.4335	2.2287	-0.4672	1.6057	-1.2541
171.8750	1.9465	1.9648	0.3061	1.4755	-0.8666	0.2404	-1.3137	-0.8127	-1.1621	-0.6117	0.6434	1.9723	-0.5875	0.9183	-0.8413	0.2323	0.5830	-0.9052	-1.5237	-0.3014	0.5139	-1.4059	-0.9494	-0.0817	0.9373	-0.9288	0.2372	0.1352	1.7535	-0.6064	0.4811	-1.4426
175.7812	0.5750	1.3537	-0.3018	0.6004	-0.9924	0.1692	-1.3169	-0.5237	-0.9941	-0.4753	-0.1300	2.8006	-0.5835	2.3426	-0.8973	0.6155	-0.2637	-1.1535	-1.2484	-0.7891	-0.3722	-1.3307	-0.8378	-0.3959	1.8553	-1.0329	0.7649	-0.0332	3.3703	-0.5800	0.9689	-1.1642
179.6875	-0.6594	0.2597	-0.6429	0.2062	-0.7407	0.4060	-1.2575	-0.1389	-0.7055	-0.1045	-0.7508	2.0335	-0.5559	2.3981	-0.8684	1.0395	-0.5095	-0.4351	-0.7975	-0.6039	-0.1294	-0.8173	-0.4007	-0.6527	1.3727	-1.0550	0.8484	-0.2224	3.1327	-0.3958	1.5639	-0.8172
183.5938	-1.4252	-0.8664	-1.3879	-0.9295	-0.9479	0.8949	-1.2307	0.3886	-0.3017	0.0150	-1.0072	1.7746	-0.8766	3.4913	-0.8273	1.7466	-1.6225	-0.3846	-0.6114	-1.1768	-0.6623	-0.8044	0.1131	-0.9032	1.9519	-1.1336	1.9307	-0.3389	4.2371	-0.4176	2.0264	-0.7146
187.5000	-0.3479	0.5052	-0.9764	-0.5594	-1.0472	0.5496	-1.7350	-0.3437	-0.8860	-0.7589	-0.6683	3.0907	-0.9534	4.0536	-1.2837	1.0096	-1.1230	-0.5993	-1.1266	-0.9773	-0.8140	-1.1463	-0.4217	-0.9236	2.9505	-1.5216	1.4555	-0.1021	5.2192	-0.8061	1.6290	-1.3415
191.4062	-0.9639	0.4834	-0.2721	0.9971	-0.7049	0.7369	-1.4813	-0.3021	-1.1001	-0.7304	-0.9830	2.7106	-1.0216	2.4276	-1.3124	0.6242	0.1573	-0.1911	-0.9119	-0.2036	0.4639	-0.8773	-0.2358	-0.4644	1.9172	-1.2528	0.9330	-0.6077	3.3062	-0.9272	1.0118	-1.2255
195.3125	-1.0297	0.3660	-0.6727	0.3630	-0.9566	0.7806	-1.7743	0.0402	-1.0514	-0.5222	-0.9408	2.8706	-1.2314	3.1708	-1.5707	1.1422	-0.4981	-0.4516	-0.7600	-0.6635	-0.1048	-0.9783	-0.0939	-0.7497	2.2501	-1.5720	1.3962	-0.3511	4.1143	-1.0416	1.5662	-1.0456
199.2188	-1.3259	-0.0184	-1.2709	-0.6344	-1.0024	0.4069	-1.4653	-0.0645	-0.4505	-0.3626	-1.0402	2.8097	-0.7288	3.8316	-1.1185	1.3428	-1.3879	-0.7106	-0.5759	-1.1558	-0.9011	-0.8521	-0.2805	-1.0423	2.1748	-1.3755	1.3179	0.0225	4.8933	-0.5216	2.2163	-0.7300
203.1250	-0.7831	0.3519	-1.0411	-0.3586	-0.8479	0.2813	-1.2950	-0.3362	-0.7187	-0.5131	-0.9318	3.0863	-0.3493	3.5591	-0.9450	0.7064	-1.1456	-0.7293	-0.7984	-0.9932	-0.8449	-0.8400	-0.5703	-0.9003	2.3691	-1.1600	1.0837	-0.0619	4.8581	-0.5140	1.2387	-0.8571
