Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	A1	A2	FZ	CZ	PZ
200.0000	-10.3401	-4.8112	-6.6789	3.5969	-1.5603	5.4290	2.0916	-3.1916	3.7869	10.1362	-5.3723	-4.6940	-6.6198	1.6914	-0.1070	6.6389	-7.8924	6.6031	3.3525	5.2333	2.7075
204.0000	-10.6725	-4.0001	-6.5577	4.3249	-3.1399	4.3903	1.3742	-3.6520	3.9799	10.9257	-6.2814	-4.1021	-6.7036	2.7867	-0.5548	9.0081	-7.0329	7.2182	3.4129	3.7241	1.5523
208.0000	-11.3579	-5.0196	-7.8608	3.6007	-3.0364	4.7504	1.1587	-2.1137	3.7149	11.1330	-7.2174	-4.3090	-6.9982	4.5581	-0.9488	12.7927	-7.9266	6.3181	2.7483	4.1214	1.8922
212.0000	-12.5986	-10.0887	-7.5815	-4.4473	-5.0557	2.5271	1.4210	0.4859	4.7552	13.9404	-5.7508	-1.0080	-7.2048	7.5611	0.4026	19.9817	-3.7314	10.4413	-5.1943	-0.2805	1.4252
216.0000	-21.0178	-16.0676	-15.0446	-6.6929	-7.8624	6.3583	1.7005	9.0137	6.3449	23.5925	-12.4855	-1.3301	-13.3098	16.7191	-2.1858	34.4447	-10.4869	12.6847	-8.6321	-0.3593	4.6166
220.0000	-27.5312	-21.2127	-20.6663	-9.1039	-10.0201	8.9581	1.9713	14.8452	7.6981	30.8717	-17.2804	-1.5547	-17.7613	23.6192	-3.7566	46.5006	-15.0367	14.8785	-11.7796	-0.4479	6.8089
224.0000	-20.5543	-15.3346	-16.2891	-4.6267	-6.0527	7.5375	1.4837	8.7922	5.3678	21.3044	-13.2922	-3.2606	-12.8163	16.6210	-2.6586	35.3861	-12.7690	9.4462	-6.0693	2.6542	5.1305
228.0000	-5.5488	-4.7473	-3.6656	0.5399	0.4270	1.6072	1.2503	-8.0210	2.2702	2.7053	-1.2470	-4.3696	-1.6125	-0.7557	2.2808	9.5937	-2.0148	4.2516	1.8536	5.3896	-0.1867
232.0000	-0.5584	-0.5051	-0.3590	3.8583	3.0752	0.1598	0.7932	-13.5250	0.7187	-4.3451	1.7317	-5.7037	2.1907	-5.9911	3.3278	2.4471	0.1795	0.7178	6.0905	7.5973	-1.9002
236.0000	-3.5835	-1.1193	-5.0315	6.8640	3.8746	3.4664	0.5111	-10.2526	0.1779	-2.8419	-2.6294	-8.3908	-0.0444	-2.3830	1.2169	8.5026	-6.0730	-2.5420	8.9062	11.3120	0.0596
240.0000	-4.3781	-0.7627	-9.0496	10.3570	6.9898	7.2975	0.3964	-6.8493	-1.4956	-4.6853	-5.7156	-11.8390	-0.9156	-0.5172	-0.7177	10.9071	-12.8176	-8.6918	12.9540	16.8960	2.6371
244.0000	-2.3748	-1.1634	-9.9979	9.7986	10.6777	8.9514	0.6507	-4.3328	-3.3303	-8.8263	-5.0087	-13.2982	0.3550	-0.8467	-0.8833	10.0026	-15.0870	-13.7393	13.6534	20.3762	4.4230
248.0000	-2.0292	-1.5845	-9.4506	8.6452	11.2079	9.6168	1.3296	-2.5665	-3.2469	-8.3269	-4.0831	-12.6559	-0.0190	-1.5858	-0.7616	5.9545	-15.3030	-13.3210	12.6274	19.9990	5.5537
252.0000	-2.9699	-0.5826	-9.6871	10.3458	10.4056	10.6392	1.5373	-1.2107	-2.8046	-6.1435	-5.1510	-12.4786	-1.4695	-1.4648	-1.6504	2.7096	-16.8707	-12.5598	13.6268	19.4745	6.3044
256.0000	1.7903	-1.0079	-2.9061	3.8279	10.1454	6.2743	2.4394	-4.0490	-2.2321	-8.5940	2.0686	-8.1330	1.8346	-6.6440	1.7076	-6.9653	-7.8262	-8.1353	7.8243	14.1356	4.4450
260.0000	1.9181	1.0595	-5.2069	8.5173	13.4431	10.7847	3.0531	-0.2297	-3.6103	-9.8301	0.1155	-10.9660	0.5156	-7.2766	-0.2966	-13.5843	-14.7603	-13.3705	12.7872	19.0571	7.8799
264.0000	1.9614	-1.0090	-2.9512	4.2345	12.0344	8.7540	3.7350	-1.7837	-2.2998	-8.2312	2.7921	-8.6910	0.8527	-8.4979	1.5500	-14.7344	-10.4290	-8.7243	8.6301	15.8301	6.9771
268.0000	0.5373	-6.0040	0.4401	-6.2735	5.6257	2.4557	3.4281	-2.0988	0.4854	-2.4607	5.6314	-1.8809	0.9368	-5.4914	3.9994	-6.3794	0.0081	1.4760	-2.9610	5.1675	3.3582
272.0000	-4.3504	-8.6037	-3.6235	-7.6154	1.9170	3.1529	2.5402	3.8998	1.3736	4.0348	0.6546	-0.6131	-2.6027	1.9455	1.6858	5.2786	-2.5345	3.0851	-5.9305	2.4051	3.9007
276.0000	-8.1599	-15.5590	-6.6869	-15.3629	0.3560	2.9972	2.8756	8.7892	2.3635	8.4267	-0.4248	1.1521	-4.4320	7.7274	2.1204	18.1768	-1.9841	5.9902	-13.4680	0.2470	4.8557
280.0000	-11.0354	-20.2611	-11.4821	-18.4257	2.0016	5.6322	3.1735	14.0257	1.7778	9.5016	-2.8686	-0.3221	-5.9817	12.4529	1.3706	28.3198	-6.2367	3.4549	-15.7143	3.2277	7.3895
284.0000	-10.1978	-21.0763	-7.6291	-21.8819	-0.2937	1.9661	3.5017	9.0690	3.4252	10.4225	0.6653	2.2659	-4.6913	9.7698	3.8762	26.4171	0.4394	9.3974	-19.2208	-1.0077	4.7830
288.0000	-7.6925	-16.3325	-3.1539	-18.5232	-2.7438	-1.5395	2.6075	2.6240	4.0617	9.2940	2.4408	3.6438	-2.8632	5.9721	4.5944	20.1828	5.3863	12.0653	-16.8649	-4.3281	1.1689
292.0000	-5.9959	-13.3650	-2.5805	-14.7936	-1.2986	-0.7824	2.4244	1.3882	3.1851	6.7389	2.4478	2.2693	-2.0797	3.8920	4.0656	15.2326	3.9412	9.3575	-13.0391	-2.2953	1.2876
296.0000	-6.6489	-15.7392	-2.7693	-17.7955	-1.8154	-1.9503	2.4167	0.5040	3.6094	7.0702	3.0695	2.8038	-1.6826	4.8494	5.0660	20.4256	5.8836	10.9026	-15.6705	-3.0742	0.5451
300.0000	-9.3362	-13.2936	-6.3911	-11.7163	-3.4239	-0.4643	0.8469	1.6289	3.2297	8.9429	-2.5045	0.7591	-3.6154	8.8337	2.1521	27.2992	1.1274	8.2087	-10.9855	-1.5287	0.2309
304.0000	-15.1445	-15.7132	-11.4978	-10.7867	-5.8508	2.1253	0.6102	6.3307	4.2912	15.5291	-8.0106	0.0334	-7.8886	14.9019	-0.1575	36.7160	-4.0273	9.3659	-11.3001	-1.3721	1.8454
308.0000	-18.3679	-17.8866	-14.2369	-12.1914	-7.5589	3.5096	0.5987	11.5544	4.8808	20.0941	-10.8716	0.8530	-10.6314	19.3006	-1.6501	41.7834	-6.5495	10.3632	-13.5629	-2.7251	3.2944
312.0000	-18.7463	-19.5412	-14.8558	-14.6877	-7.6523	3.6169	0.6839	14.4332	4.7734	20.8664	-10.9599	1.7562	-11.0053	21.0341	-1.8158	43.9916	-6.5512	10.3217	-16.0182	-3.6171	3.9733
316.0000	-22.7536	-25.4946	-16.8318	-20.9373	-9.6434	3.5375	1.5053	16.9596	6.5503	26.1897	-11.4226	3.3651	-13.2053	24.6326	-0.9320	52.3140	-5.6432	15.2109	-22.2413	-5.8913	4.7316
320.0000	-29.2314	-29.7717	-22.1050	-22.7793	-12.6594	5.8849	1.5282	23.5410	7.9830	34.2322	-16.6356	3.8030	-17.9742	31.9204	-3.0121	63.4018	-10.0395	17.7062	-25.3474	-7.1705	6.7255
324.0000	-33.7243	-34.2027	-24.3561	-27.4424	-16.6643	4.9824	1.2919	26.9118	9.7503	40.7868	-18.9687	6.1593	-20.6517	37.5711	-3.3628	74.4118	-9.0414	22.5247	-31.0727	-11.3313	6.4284
328.0000	-35.0647	-37.2464	-23.6612	-32.4227	-19.4221	2.4545	1.1767	26.7885	11.0584	43.6419	-18.1584	8.7708	-20.8544	39.5656	-2.2402	80.4166	-4.9072	27.0339	-36.3955	-15.4896	4.9556
332.0000	-36.8329	-38.3314	-24.5650	-32.9610	-21.0435	1.8531	0.8394	26.2614	11.7596	45.6540	-19.3289	9.0246	-21.5928	41.3472	-2.2882	85.5310	-4.4602	28.7650	-37.3424	-16.4836	4.1945
336.0000	-37.0687	-39.6760	-22.1858	-36.0666	-23.4228	-1.1042	0.9800	22.5103	13.3074	47.2918	-17.1840	11.0911	-20.9911	40.2519	-0.4003	86.6533	0.6989	33.9951	-40.6182	-20.0638	2.0016
340.0000	-38.3552	-36.0559	-26.0720	-27.6348	-21.1940	3.6621	0.6609	24.8969	11.9402	46.7333	-21.8725	6.8683	-22.9725	41.0785	-3.5436	84.2076	-8.0312	27.9059	-32.5959	-14.1666	4.5405
344.0000	-35.5093	-34.4674	-23.9821	-26.6562	-18.9801	3.2818	1.0139	21.5897	11.2556	42.7185	-19.2801	5.9799	-20.8522	37.1260	-2.3691	78.3333	-6.7920	26.4590	-30.6809	-12.3651	4.1767
348.0000	-28.0973	-30.5650	-15.9040	-27.9602	-18.4283	-2.5214	0.5970	12.9469	10.6857	35.3490	-12.0100	8.3567	-14.9464	29.4723	0.9886	68.1719	3.1301	27.7109	-31.1528	-15.6158	-0.2079
